amplitude,statistic,p_value,n,significant,n_neurons,n_sessions
0.2774,1747.0,0.7242792738661603,101,False,101,6
0.5397,1535.5,0.5561682324420577,101,False,101,6
0.8021,1667.0,0.5987014880013695,101,False,101,6
1.0645,1687.5,0.8010552306475266,101,False,101,6
1.3268,1420.0,0.14251129300734355,101,False,101,6
1.5892,1553.0,0.4923925544380696,101,False,101,6
1.8516,1527.0,0.9463897701305255,101,False,101,6
2.1139,1458.0,0.14473639133631855,101,False,101,6
2.3763,1662.5,0.46968175367463116,101,False,101,6
2.6387,1459.0,0.3427463440778755,101,False,101,6
2.9011,1526.0,0.18646170106940274,101,False,101,6
3.1634,1388.0,0.07663057517152035,101,False,101,6
3.4258,1313.5,0.07286095060888068,101,False,101,6
3.6882,1336.5,0.3095898970401155,101,False,101,6
3.9505,1623.0,0.4699909447603703,101,False,101,6
4.2129,1584.5,0.12016342971313088,101,False,101,6
4.4753,1339.0,0.032311774077457896,101,False,101,6
4.7376,1215.5,0.024653204687757176,101,False,101,6
5.0,1165.5,0.0037226491935823604,101,False,101,6
