amplitude,statistic,p_value,n,significant,n_neurons,n_sessions
0.02,85.0,3.828949864181146e-09,62,True,62,5
0.05,181.0,4.830619859595065e-07,62,True,62,5
0.075,92.0,5.354002725683718e-09,62,True,62,5
0.1,86.5,6.482324305171077e-09,62,True,62,5
0.2,62.0,7.237871995764227e-09,62,True,62,5
0.5,74.0,9.273907722495789e-10,62,True,62,5
0.75,162.0,2.9684561254999844e-08,62,True,62,5
1.0,358.0,6.956070992215014e-05,62,True,62,5
2.0,822.0,0.7953508100036336,62,False,62,5
5.0,663.0,0.09380663830145645,62,False,62,5
