amplitude,p_value,n,median_response,significant,amplitude_mw
0.02,1.1922823866868248e-10,62,2.0257138551751845,True,0.15019910886731688
0.05,3.7776104381903367e-10,62,2.283746163386419,True,0.6457487743044598
0.075,3.771030027024471e-11,62,2.2838685920994557,True,1.0561714165824412
0.1,1.7515663099002766e-10,62,2.3447796575358413,True,1.4643037329846138
0.2,1.7512002067262716e-10,62,3.1172019254327887,True,3.0742033839758083
0.5,5.5339388290841726e-11,62,4.570140331214845,True,7.694101157245481
0.75,3.77306916972377e-11,62,4.356067863894838,True,11.316662487260963
1.0,3.77306916972377e-11,62,5.979999708963272,True,14.747133188675289
2.0,5.5380757730678676e-11,62,7.112286088951608,True,26.821753848911552
5.0,2.5718768756165796e-11,62,11.117238119063058,True,54.6750198576403
