amplitude,p_value,n,median_response,significant,amplitude_mw
0.02,1.2045849027728093e-07,62,0.0618096081612821,True,0.15019910886731688
0.05,3.8306133399426034e-08,62,0.2982585517851684,True,0.6457487743044598
0.075,1.2090621883177355e-07,62,0.041206405440854736,True,1.0561714165824412
0.1,1.2328027709458873e-07,62,0.026811829814398804,True,1.4643037329846138
0.2,5.864057824385688e-07,62,0.00012242871303676578,True,3.0742033839758083
0.5,5.6963609235679345e-08,62,0.4225076415402145,True,7.694101157245481
0.75,8.226481033643278e-09,62,0.714802423657485,True,11.316662487260963
1.0,8.231759275476166e-09,62,0.6521180846376475,True,14.747133188675289
2.0,1.7519324821041314e-10,62,3.9638503235163354,True,26.821753848911552
5.0,1.7512002067262716e-10,62,10.890289755892695,True,54.6750198576403
