amplitude,statistic,p_value,n,significant,n_neurons,n_sessions
0.2774,2002.0,0.9983677482237139,112,False,112,6
0.5397,1718.5,0.5127769240742527,112,False,112,6
0.8021,1884.0,0.6277952272809775,112,False,112,6
1.0645,1926.0,0.8940751153900419,112,False,112,6
1.3268,1580.5,0.08423925922984399,112,False,112,6
1.5892,1637.5,0.1823480979930403,112,False,112,6
1.8516,1643.5,0.5279961370578206,112,False,112,6
2.1139,1901.5,0.6794380392778467,112,False,112,6
2.3763,1971.5,0.6305904677360366,112,False,112,6
2.6387,1817.0,0.6813987804686197,112,False,112,6
2.9011,1908.5,0.5759565419979633,112,False,112,6
3.1634,1613.5,0.20342080044339383,112,False,112,6
3.4258,1679.5,0.2465379011718899,112,False,112,6
3.6882,1593.5,0.3930734694973731,112,False,112,6
3.9505,1943.0,0.8076676551496271,112,False,112,6
4.2129,2053.0,0.4984773000530631,112,False,112,6
4.4753,1583.0,0.061615231635751604,112,False,112,6
4.7376,1547.5,0.1208516107792402,112,False,112,6
5.0,1495.0,0.026208498149647676,112,False,112,6
