amplitude,p_value,n,median_response,significant,amplitude_mw
0.2774,3.7875313205534925e-13,112,1.0862766027352255,True,4.295813561813135
0.5397,3.8116714399502166e-13,112,0.5967619609964104,True,8.282754736920444
0.8021,1.7674683012888052e-13,112,1.1111111111111114,True,12.046962533939729
1.0645,1.7598342955220877e-12,112,1.0701495630963302,True,15.602692981192861
1.3268,8.266700100323047e-14,112,2.1365893407417076,True,18.96451987756149
1.5892,3.816330042309506e-13,112,1.695455817919579,True,22.150822314241147
1.8516,8.191986074124818e-13,112,1.1111111111111114,True,25.176103682640534
2.1139,3.8014410100998983e-13,112,1.1111111111111114,True,28.05511280972794
2.3763,1.7670607723874105e-13,112,1.1235283652990542,True,30.805860645052483
2.6387,5.587968646546974e-14,112,1.1111111111111114,True,33.44304369358263
2.9011,2.604063348869673e-13,112,1.1240180801512012,True,35.982482725566
3.1634,2.599125345094838e-13,112,1.1108662536850378,True,38.439075553800215
3.4258,1.2118896468245111e-13,112,1.1111111111111114,True,40.83051104144564
3.6882,5.591462299800275e-13,112,1.1357007620609236,True,43.171658794030165
3.9505,8.277513815246837e-14,112,1.7612518743102459,True,45.47746506791083
4.2129,2.6043722621539637e-13,112,1.1305215000193098,True,47.765503753656034
4.4753,3.8413288237040704e-14,112,1.1111111111111114,True,50.05071098582622
4.7376,8.186676363215887e-13,112,1.1111111111111114,True,52.34802721481079
5.0,3.78013206914189e-13,112,1.1111111111111114,True,54.6750198576403
