amplitude,p_value,n,median_response,significant,amplitude_mw
0.2774,1.7489434486725336e-12,112,0.9562172452150504,True,4.295813561813135
0.5397,2.5596639409876866e-12,112,0.5679728097434985,True,8.282754736920444
0.8021,1.7338003812871316e-12,112,0.2785130822186252,True,12.046962533939729
1.0645,1.768283620301581e-13,112,1.1111111111111114,True,15.602692981192861
1.3268,2.5773173084135313e-13,112,1.1111111111111114,True,18.96451987756149
1.5892,5.587242672784858e-13,112,1.0984489994970947,True,22.150822314241147
1.8516,2.5698905945628247e-12,112,0.845504997932576,True,25.176103682640534
2.1139,5.637953247542426e-14,112,1.1111111111111114,True,28.05511280972794
2.3763,3.8468796879062866e-14,112,1.0984489994970947,True,30.805860645052483
2.6387,2.59019729113727e-13,112,1.0823219598581995,True,33.44304369358263
2.9011,1.7926570341324934e-14,112,1.1111111111111114,True,35.982482725566
3.1634,1.7748187260570445e-13,112,1.1111111111111114,True,38.439075553800215
3.4258,8.276612171026928e-14,112,1.1113559685371848,True,40.83051104144564
3.6882,8.14008755047456e-13,112,1.1111111111111114,True,43.171658794030165
3.9505,8.149597145254539e-13,112,1.0984489994970947,True,45.47746506791083
4.2129,1.772161145696363e-13,112,1.0865214601612991,True,47.765503753656034
4.4753,2.6043722621539637e-13,112,1.1108662536850378,True,50.05071098582622
4.7376,3.8000479194951713e-13,112,1.1108662536850378,True,52.34802721481079
5.0,5.6415394278602e-14,112,1.1111111111111114,True,54.6750198576403
