amplitude,statistic,p_value,n,significant,n_neurons,n_sessions
0.2774,1643.0,0.7868132927958182,97,False,97,6
0.5397,1480.5,0.7650574996805803,97,False,97,6
0.8021,1608.5,0.9560123232720126,97,False,97,6
1.0645,1528.5,0.6607568361299205,97,False,97,6
1.3268,1422.0,0.26145545412685545,97,False,97,6
1.5892,1459.0,0.4399926838356154,97,False,97,6
1.8516,1436.0,0.8888254175295774,97,False,97,6
2.1139,1452.0,0.24872710757551741,97,False,97,6
2.3763,1575.5,0.44696810994115277,97,False,97,6
2.6387,1359.0,0.36597334687924066,97,False,97,6
2.9011,1465.0,0.35732308674708146,97,False,97,6
3.1634,1280.5,0.07358678418376005,97,False,97,6
3.4258,1203.5,0.045753914616769406,97,False,97,6
3.6882,1184.5,0.14932855354895064,97,False,97,6
3.9505,1550.0,0.48368704828398934,97,False,97,6
4.2129,1463.0,0.1509865782227744,97,False,97,6
4.4753,1214.0,0.02421136431587931,97,False,97,6
4.7376,1162.5,0.02821012310767737,97,False,97,6
5.0,1040.0,0.00348349648540472,97,False,97,6
