amplitude,statistic,p_value,n,significant,n_neurons,n_sessions
0.2774,1856.0,0.9502133678110688,103,False,103,6
0.5397,1618.5,0.8432404551511526,103,False,103,6
0.8021,1706.5,0.8683791349661406,103,False,103,6
1.0645,1722.0,0.6438750626399216,103,False,103,6
1.3268,1599.0,0.3167014817258903,103,False,103,6
1.5892,1551.0,0.3833670687970028,103,False,103,6
1.8516,1528.0,0.9503555645737153,103,False,103,6
2.1139,1562.0,0.18403784780740717,103,False,103,6
2.3763,1721.0,0.4140066823753421,103,False,103,6
2.6387,1540.0,0.3566952533627593,103,False,103,6
2.9011,1542.5,0.21173405335552353,103,False,103,6
3.1634,1385.0,0.07443238150078686,103,False,103,6
3.4258,1446.5,0.09502670924284379,103,False,103,6
3.6882,1387.5,0.34682308950536833,103,False,103,6
3.9505,1690.5,0.5482995446630795,103,False,103,6
4.2129,1604.5,0.14132573134779966,103,False,103,6
4.4753,1424.0,0.03808785283005459,103,False,103,6
4.7376,1293.5,0.041267487090849535,103,False,103,6
5.0,1199.5,0.005927349444864126,103,False,103,6
