amplitude,p_value,n,median_response,significant,amplitude_mw
0.2774,8.133753506015896e-13,103,1.1111111111111114,True,4.295813561813135
0.5397,1.7581360774983148e-12,103,1.0862766027352255,True,8.282754736920444
0.8021,1.1962979501172055e-12,103,1.1111111111111114,True,12.046962533939729
1.0645,5.54402646834932e-12,103,1.1111111111111114,True,15.602692981192861
1.3268,1.1998224731564647e-12,103,2.1080450469148695,True,18.96451987756149
1.5892,2.581256726106734e-12,103,2.197387713846337,True,22.150822314241147
1.8516,1.1927222171290783e-11,103,1.1111111111111114,True,25.176103682640534
2.1139,1.750633498979588e-12,103,1.1111111111111114,True,28.05511280972794
2.3763,8.177126879385933e-13,103,1.135945619486997,True,30.805860645052483
2.6387,3.775975863835905e-13,103,1.1111111111111114,True,33.44304369358263
2.9011,1.200303830122946e-12,103,1.1369250491912912,True,35.982482725566
3.1634,1.198539723521275e-12,103,1.1111111111111114,True,38.439075553800215
3.4258,1.7598342955220877e-12,103,1.1111111111111114,True,40.83051104144564
3.6882,2.5819916080055296e-12,103,1.1935239219928209,True,43.171658794030165
3.9505,3.810274884512413e-13,103,2.165133634568546,True,45.47746506791083
4.2129,1.7591063031559267e-12,103,1.1499318889275085,True,47.765503753656034
4.4753,1.7697112669785772e-13,103,1.1111111111111114,True,50.05071098582622
4.7376,2.576117929336408e-12,103,1.1111111111111114,True,52.34802721481079
5.0,2.5523820880353087e-12,103,1.1111111111111114,True,54.6750198576403
