amplitude,statistic,p_value,n,significant,n_neurons,n_sessions
0.2774,1748.0,0.8689295618852243,99,False,99,6
0.5397,1456.0,0.4315159730824,99,False,99,6
0.8021,1527.0,0.5296269670892975,99,False,99,6
1.0645,1648.0,0.9530681350710958,99,False,99,6
1.3268,1436.0,0.16336020891328196,99,False,99,6
1.5892,1417.5,0.18920865069636184,99,False,99,6
1.8516,1389.5,0.5695702353986558,99,False,99,6
2.1139,1578.0,0.355907031072917,99,False,99,6
2.3763,1758.0,0.7607185993745541,99,False,99,6
2.6387,1479.0,0.6215799097968537,99,False,99,6
2.9011,1568.0,0.4268877579784214,99,False,99,6
3.1634,1487.0,0.24511795326136865,99,False,99,6
3.4258,1420.5,0.14314011002855367,99,False,99,6
3.6882,1387.0,0.44453871164168235,99,False,99,6
3.9505,1611.0,0.5489687038209019,99,False,99,6
4.2129,1487.0,0.13570028575162765,99,False,99,6
4.4753,1325.0,0.0402145522844386,99,False,99,6
4.7376,1270.5,0.04631325914050958,99,False,99,6
5.0,1171.0,0.00940510046839314,99,False,99,6
