amplitude,p_value,n,median_response,significant,amplitude_mw
0.2774,2.562946995964261e-12,103,1.0540225234574347,True,4.295813561813135
0.5397,3.736874790110408e-12,103,1.1106213962589642,True,8.282754736920444
0.8021,2.5328160207477006e-12,103,1.1111111111111114,True,12.046962533939729
1.0645,1.2071463296275785e-13,103,1.365279399805998,True,15.602692981192861
1.3268,1.7625836958391008e-13,103,1.1111111111111114,True,18.96451987756149
1.5892,1.200303830122946e-12,103,1.1111111111111114,True,22.150822314241147
1.8516,2.562217094133649e-12,103,1.0867663175873725,True,25.176103682640534
2.1139,1.2056591323241787e-13,103,1.1111111111111114,True,28.05511280972794
2.3763,1.772161145696363e-13,103,1.0862766027352255,True,30.805860645052483
2.6387,8.128478607515429e-13,103,1.1111111111111114,True,33.44304369358263
2.9011,2.629342873419103e-14,103,1.1935239219928209,True,35.982482725566
3.1634,1.7748187260570445e-13,103,1.1111111111111114,True,38.439075553800215
3.4258,1.2103970307760356e-13,103,1.1686894136169352,True,40.83051104144564
3.6882,1.7412365967431391e-12,103,1.1111111111111114,True,43.171658794030165
3.9505,2.565503156584496e-12,103,1.1111111111111114,True,45.47746506791083
4.2129,1.7686914104470848e-13,103,1.1111111111111114,True,47.765503753656034
4.4753,2.604681209346758e-13,103,2.197061237278239,True,50.05071098582622
4.7376,3.8028345727183387e-13,103,1.1120905408154054,True,52.34802721481079
5.0,1.2078228906361685e-13,103,1.1111111111111114,True,54.6750198576403
