amplitude,statistic,p_value,n,significant,n_neurons,n_sessions
0.02,145.0,2.1596920741380003e-09,74,True,74,5
0.05,249.0,1.2243932472492212e-07,74,True,74,5
0.075,152.0,7.028101746826671e-10,74,True,74,5
0.1,172.0,2.4723355632960755e-09,74,True,74,5
0.2,128.0,6.890099984365577e-09,74,True,74,5
0.5,158.0,1.4243180845330617e-09,74,True,74,5
0.75,317.0,6.088069738075545e-08,74,True,74,5
1.0,523.0,0.00011911367090012535,74,True,74,5
2.0,977.0,0.4117212092068584,74,False,74,5
5.0,932.0,0.09951624613537358,74,False,74,5
