amplitude,p_value,n,median_response,significant,amplitude_mw
0.02,8.146500432174288e-12,74,2.3483299066146666,True,0.15019910886731688
0.05,1.7527311244513127e-11,74,2.1767397512701527,True,0.6457487743044598
0.075,1.7622629383349886e-12,74,1.9030397298271962,True,1.0561714165824412
0.1,8.146500432174288e-12,74,2.1633103925601964,True,1.4643037329846138
0.2,1.1948537296111873e-11,74,2.176131985870386,True,3.0742033839758083
0.5,3.788882631168001e-12,74,3.257374006971669,True,7.694101157245481
0.75,5.59850154960999e-13,74,3.493110418178653,True,11.316662487260963
1.0,1.202231036898644e-12,74,3.9423827159808065,True,14.747133188675289
2.0,3.788325880085784e-12,74,5.6034536312813135,True,26.821753848911552
5.0,1.7625059720729396e-12,74,6.543621441191327,True,54.6750198576403
