amplitude,p_value,n,median_response,significant,amplitude_mw
0.02,1.232232909693745e-07,74,0.0,True,0.15019910886731688
0.05,8.221205769615359e-09,74,0.04414972011520149,True,0.6457487743044598
0.075,5.686948072392143e-08,74,0.006208627093971435,True,1.0561714165824412
0.1,5.6963609235679345e-08,74,0.0001360319033741842,True,1.4643037329846138
0.2,1.2385138196826183e-07,74,0.0,True,3.0742033839758083
0.5,2.626670403838496e-08,74,0.09389611909374979,True,7.694101157245481
0.75,2.5889043007031392e-09,74,0.6534507374617868,True,11.316662487260963
1.0,1.7610045767555523e-09,74,0.5698486687494402,True,14.747133188675289
2.0,3.771030027024471e-11,74,3.063898763599013,True,26.821753848911552
5.0,2.5714296283255495e-11,74,5.685884724937324,True,54.6750198576403
