amplitude,statistic,p_value,n,significant,n_neurons,n_sessions
0.02,93.0,6.402595911947059e-11,75,True,75,6
0.05,234.0,9.600756475841667e-09,75,True,75,6
0.075,125.5,1.5469663594544924e-10,75,True,75,6
0.1,97.5,1.2005104987426778e-10,75,True,75,6
0.2,72.0,2.274869189314939e-10,75,True,75,6
0.5,99.0,1.4233940549152355e-11,75,True,75,6
0.75,186.0,6.295685277174381e-10,75,True,75,6
1.0,469.0,2.1169422019402774e-06,75,True,75,6
2.0,1011.0,0.24004954853147675,75,False,75,6
5.0,1060.0,0.21162695991936986,75,False,75,6
