amplitude,p_value,n,median_response,significant,amplitude_mw
0.02,2.5827266820596266e-12,75,2.095546173584902,True,0.15019910886731688
0.05,3.788325880085784e-12,75,2.1812606742074414,True,0.6457487743044598
0.075,8.194110847428065e-13,75,2.3041453182517855,True,1.0561714165824412
0.1,3.786656077022709e-12,75,2.3330160886467213,True,1.4643037329846138
0.2,5.554136959091655e-12,75,2.9825038987096595,True,3.0742033839758083
0.5,8.200488216571119e-13,75,4.431455856262331,True,7.694101157245481
0.75,8.202615023066114e-13,75,3.872925087534043,True,11.316662487260963
1.0,3.819594194503611e-13,75,4.614368841398487,True,14.747133188675289
2.0,8.20474233813614e-13,75,5.041124786298831,True,26.821753848911552
5.0,2.607463260526433e-13,75,6.736090889366262,True,54.6750198576403
