amplitude,p_value,n,median_response,significant,amplitude_mw
0.02,1.207941531431994e-07,75,0.0,True,0.15019910886731688
0.05,3.73517730754651e-09,75,0.041206405440854736,True,0.6457487743044598
0.075,1.7459425855983787e-08,75,0.041206405440854736,True,1.0561714165824412
0.1,3.851706352238512e-08,75,0.00024485742607353156,True,1.4643037329846138
0.2,1.2350844756151678e-07,75,0.0,True,3.0742033839758083
0.5,1.207201110158877e-08,75,0.1392565411093126,True,7.694101157245481
0.75,2.573760784727914e-09,75,0.5553106981294821,True,11.316662487260963
1.0,5.530904815031376e-10,75,0.5555555555555557,True,14.747133188675289
2.0,3.773749106575748e-11,75,2.304390175677858,True,26.821753848911552
5.0,1.752142435427089e-11,75,8.500970929985437,True,54.6750198576403
