amplitude,statistic,p_value,n,significant,n_neurons,n_sessions
0.2774,2064.0,0.6415384625885097,124,False,124,6
0.5397,1982.0,0.34483536720465724,124,False,124,6
0.8021,2170.0,0.45745155217388966,124,False,124,6
1.0645,2051.0,0.606305311540082,124,False,124,6
1.3268,1979.5,0.0837014286889966,124,False,124,6
1.5892,1822.5,0.046209116024938636,124,False,124,6
1.8516,1927.0,0.40908038704211525,124,False,124,6
2.1139,2016.0,0.5160284827495245,124,False,124,6
2.3763,2412.0,0.47395586786968846,124,False,124,6
2.6387,2347.0,0.7808758911615832,124,False,124,6
2.9011,2200.0,0.5253671329772365,124,False,124,6
3.1634,2008.5,0.10346717056858692,124,False,124,6
3.4258,2026.0,0.2072399526350176,124,False,124,6
3.6882,2270.5,0.7028923770772593,124,False,124,6
3.9505,2325.5,0.723068747993568,124,False,124,6
4.2129,2153.0,0.15234569072235202,124,False,124,6
4.4753,1678.5,0.012018665009819043,124,False,124,6
4.7376,1846.5,0.07847904040652624,124,False,124,6
5.0,1805.5,0.0562111645252881,124,False,124,6
