amplitude,p_value,n,median_response,significant,amplitude_mw
0.2774,1.7520432535740617e-13,124,1.0862766027352255,True,4.295813561813135
0.5397,8.354862067736844e-15,124,1.1106213962589642,True,8.282754736920444
0.8021,1.7945860809134355e-14,124,1.1108662536850378,True,12.046962533939729
1.0645,1.2113466799682956e-13,124,0.66626780283803,True,15.602692981192861
1.3268,3.900602749566604e-15,124,1.1111111111111114,True,18.96451987756149
1.5892,1.2283704995142177e-14,124,1.4020414475176795,True,22.150822314241147
1.8516,8.282023404275125e-14,124,1.0823219598581995,True,25.176103682640534
2.1139,5.624225838870236e-14,124,1.1111111111111114,True,28.05511280972794
2.3763,3.909215494115518e-15,124,1.1111111111111114,True,30.805860645052483
2.6387,8.344785776470163e-15,124,1.1108662536850378,True,33.44304369358263
2.9011,3.859595408164856e-14,124,1.1111111111111114,True,35.982482725566
3.1634,8.351760461093725e-15,124,1.1111111111111114,True,38.439075553800215
3.4258,8.382047038598176e-15,124,1.1361904769130706,True,40.83051104144564
3.6882,5.722456983030729e-15,124,1.1520726591258925,True,43.171658794030165
3.9505,3.9171549255210435e-15,124,1.2056963187546903,True,45.47746506791083
4.2129,5.646324299124786e-14,124,1.1111111111111114,True,47.765503753656034
4.4753,8.352535761949946e-15,124,1.1111111111111114,True,50.05071098582622
4.7376,3.857606003018669e-14,124,1.1111111111111114,True,52.34802721481079
5.0,8.210142938850391e-14,124,1.1111111111111114,True,54.6750198576403
