amplitude,p_value,n,median_response,significant,amplitude_mw
0.2774,1.7446044929852564e-12,103,1.1106213962589642,True,4.295813561813135
0.5397,1.746290686850658e-12,103,1.1106213962589642,True,8.282754736920444
0.8021,2.5505646002679894e-12,103,1.1111111111111114,True,12.046962533939729
1.0645,1.7680797578917998e-13,103,1.1111111111111114,True,15.602692981192861
1.3268,1.7569007959026483e-13,103,1.1111111111111114,True,18.96451987756149
1.5892,1.2007853649205758e-12,103,1.1111111111111114,True,22.150822314241147
1.8516,3.7556100682450065e-12,103,1.0867663175873725,True,25.176103682640534
2.1139,5.640343798955891e-14,103,1.1111111111111114,True,28.05511280972794
2.3763,1.2082289960136217e-13,103,1.1106213962589642,True,30.805860645052483
2.6387,5.526387503947744e-13,103,1.1111111111111114,True,33.44304369358263
2.9011,3.845292965811627e-14,103,1.1111111111111114,True,35.982482725566
3.1634,3.809809471138409e-13,103,1.1111111111111114,True,38.439075553800215
3.4258,8.267600742079296e-14,103,1.6681372755483617,True,40.83051104144564
3.6882,2.5523820880353087e-12,103,1.1111111111111114,True,43.171658794030165
3.9505,2.565503156584496e-12,103,1.1111111111111114,True,45.47746506791083
4.2129,3.7986553007579967e-13,103,1.1111111111111114,True,47.765503753656034
4.4753,2.604681209346758e-13,103,1.9188746316277117,True,50.05071098582622
4.7376,3.7981911993464763e-13,103,1.1116008259632584,True,52.34802721481079
5.0,5.619458373332099e-14,103,1.1935239219928209,True,54.6750198576403
