amplitude,statistic,p_value,n,significant,n_neurons,n_sessions
0.2774,1810.5,0.9406186014688408,103,False,103,6
0.5397,1516.5,0.49777110254524337,103,False,103,6
0.8021,1672.5,0.7489030901569139,103,False,103,6
1.0645,1825.5,0.8463529208602483,103,False,103,6
1.3268,1492.0,0.1031347869761294,103,False,103,6
1.5892,1561.0,0.24291003251750054,103,False,103,6
1.8516,1471.0,0.5942428327034321,103,False,103,6
2.1139,1639.5,0.4100576453960224,103,False,103,6
2.3763,1762.5,0.6418919162989698,103,False,103,6
2.6387,1716.0,0.9024338203093824,103,False,103,6
2.9011,1626.0,0.2228683401232754,103,False,103,6
3.1634,1556.0,0.12971174587364248,103,False,103,6
3.4258,1490.0,0.1391784276498333,103,False,103,6
3.6882,1402.5,0.29685499573993335,103,False,103,6
3.9505,1737.5,0.693312764100196,103,False,103,6
4.2129,1772.5,0.26850150614375434,103,False,103,6
4.4753,1480.0,0.0467096552142422,103,False,103,6
4.7376,1313.5,0.05117399607127759,103,False,103,6
5.0,1246.5,0.01632332603384635,103,False,103,6
