amplitude,p_value,n,median_response,significant,amplitude_mw
0.2774,2.5644073725910312e-12,101,1.0540225234574347,True,4.295813561813135
0.5397,2.5596639409876866e-12,101,1.1111111111111114,True,8.282754736920444
0.8021,2.5505646002679894e-12,101,1.1111111111111114,True,12.046962533939729
1.0645,2.5791536702529356e-13,101,1.1111111111111114,True,15.602692981192861
1.3268,3.7741300175793305e-13,101,1.1111111111111114,True,18.96451987756149
1.5892,1.7603197776875088e-12,101,1.1111111111111114,True,22.150822314241147
1.8516,5.523856038854039e-12,101,1.0867663175873725,True,25.176103682640534
2.1139,1.21148240052869e-13,101,1.135945619486997,True,28.05511280972794
2.3763,1.7717526145246358e-13,101,1.1106213962589642,True,30.805860645052483
2.6387,5.545905969333506e-13,101,1.1111111111111114,True,33.44304369358263
2.9011,3.842121347875738e-14,101,1.1116008259632584,True,35.982482725566
3.1634,3.810274884512413e-13,101,1.1111111111111114,True,38.439075553800215
3.4258,2.6019019050311403e-13,101,1.1935239219928209,True,40.83051104144564
3.6882,3.7539534965271074e-12,101,1.1111111111111114,True,43.171658794030165
3.9505,2.565503156584496e-12,101,1.1111111111111114,True,45.47746506791083
4.2129,5.578110230457848e-13,101,1.1111111111111114,True,47.765503753656034
4.4753,5.594277018659748e-13,101,2.173042920322598,True,50.05071098582622
4.7376,8.15700057756991e-13,101,1.1120905408154054,True,52.34802721481079
5.0,8.26129816221614e-14,101,1.8866205523499209,True,54.6750198576403
