amplitude,p_value,n,median_response,significant,amplitude_mw
0.02,0.00021840451160574153,19,0.6535947712418301,True,0.15019910886731688
0.05,0.0011045101731156938,19,0.6346217834313649,True,0.6457487743044598
0.075,0.0007344249831079188,19,1.5686741282590944,True,1.0561714165824412
0.1,0.002531016063133932,19,0.0002623472422216409,True,1.4643037329846138
0.2,0.0011088607321185246,19,1.3529421582824537,True,3.0742033839758083
0.5,0.0016728090579254406,19,1.2486369141390308,True,7.694101157245481
0.75,0.0011045101731156938,19,1.1198967075354547,True,11.316662487260963
1.0,0.0004907698762608342,19,1.2820512820512824,True,14.747133188675289
2.0,0.0007368904219375711,19,0.628653620523942,True,26.821753848911552
5.0,0.0003274791716928477,19,2.0391134154233765,True,54.6750198576403
