amplitude,p_value,n,median_response,significant,amplitude_mw
0.02,0.013853924679039932,19,0.0,True,0.15019910886731688
0.05,0.013853924679039932,19,0.0,True,0.6457487743044598
0.075,0.021557223391537678,19,0.0,True,1.0561714165824412
0.1,0.013853924679039932,19,0.0,True,1.4643037329846138
0.2,0.013853924679039932,19,0.0,True,3.0742033839758083
0.5,0.021557223391537678,19,0.0,True,7.694101157245481
0.75,0.033944577430914495,19,0.0,True,11.316662487260963
1.0,0.008980238763039383,19,0.0,True,14.747133188675289
2.0,0.021557223391537678,19,0.0,True,26.821753848911552
5.0,0.013853924679039932,19,0.0,True,54.6750198576403
